p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
2;50;756.2;0.568;0;3.6
2;100;934.4;0.59;27.2;3.6
2;500;5676.2;0.578;56.8;9.8
2;1000;5397.2;0.5952;157.6;5
2;2000;18429.8;0.5801;293.6;9.8
2;3000;19150.8;0.640067;432.8;6.2
2;5000;52190.2;0.59388;766.4;11.6
3;50;355.2;0.568;0;1.2
3;100;462.2;0.574;27.2;1.2
3;500;1574;0.578;89.6;2
3;1000;2382.2;0.5882;161.6;1.6
3;2000;3507.8;0.5993;318.4;1.2
3;3000;7103.8;0.585733;483.2;1.8
4;50;442.8;0.7;0;1.4
4;100;606.2;0.57;26.4;1.8
4;500;2086;0.582;84;2.4
4;1000;2048.8;0.5934;191.2;1.2
4;2000;3330.4;0.5948;348;1
4;3000;7019.6;0.6156;559.2;1.6
4;5000;9194;0.59268;927.2;1.2
