p;size;hashing time;average search time;processed memory
2;50;661;0.72;0;
2;100;772.2;0.87;27033.6;
2;500;2266;0.7296;55705.6;
2;800;5822;0.73125;168755;
2;1000;5671.4;0.7308;192512;
2;2000;13472.8;0.7342;393216;
2;3000;17660.4;0.7414;597197;
2;4000;31688.8;0.81505;797082;
2;5000;41083.8;0.76832;1.05595e+06;
3;50;515.2;1.004;0;
3;100;786.8;0.936;0;
3;500;1487;0.7768;83558.4;
3;800;1943.8;0.76475;163021;
3;1000;4874.6;0.769;231834;
3;2000;9033;0.7736;471040;
3;3000;11233;0.758467;655360;
3;4000;10620.8;0.87685;781517;
3;5000;15276.2;0.8212;1.03875e+06;
4;50;491.8;1.032;0;
4;100;726.8;0.764;0;
4;500;1973.4;0.8888;108134;
4;800;2247.4;0.8845;201523;
4;1000;4311.4;0.8916;249856;
4;2000;5143;0.8028;463667;
4;3000;7020.2;0.8446;674202;
4;4000;7471.6;0.80765;837222;
4;5000;9655.8;0.84736;1.09117e+06;
