p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
2;50;67.4;0.264;0;1.4
2;100;293.8;0.26;0;4.2
2;500;2546.8;0.29;57.6;9
2;1000;3094.6;0.3174;170.4;4.4
2;2000;6958.4;0.3117;352;5.6
2;3000;12418.6;0.310628;460;10
2;5000;9406.2;0.316913;437.6;7.2
3;50;69.8;0.26;0;1.4
3;100;122.2;0.26;0;1.2
3;500;856.4;0.2892;26.4;1.8
3;1000;1437.2;0.3058;162.4;1.4
3;2000;3251.8;0.3756;359.2;1.2
3;3000;4069.2;0.354621;476;1.6
3;5000;2844.8;0.310166;451.2;1.2
4;50;90.8;0.26;0;1.8
4;100;165;0.26;0;1.6
4;500;704.2;0.2908;57.6;1.2
4;1000;1452.2;0.3068;224;1.2
4;2000;2500.2;0.3079;426.4;1
4;3000;2756.6;0.312477;508;1
4;5000;2802.4;0.315157;505.6;1
