p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
2;50;619.6;0.36;0;3
2;100;1377.2;0.396;0;6.4
2;500;5312.2;0.4052;83.2;10.8
2;1000;3794.4;0.409;164;4
2;2000;12586.2;0.411;353.6;8.2
2;3000;25050;0.4222;619.2;11
2;5000;48219.6;0.43032;1058.4;13.8
3;50;602;0.384;0;2.8
3;100;582.2;0.42;0;2
3;500;1487.2;0.4068;0;2.2
3;1000;3381.6;0.418;228;3
3;2000;3565;0.4121;384.8;1.4
3;3000;8655.4;0.414333;654.4;2.8
3;5000;7573.2;0.4224;1034.4;1.2
4;50;652.2;0.4;0;3
4;100;420.4;0.392;0;1.2
4;500;1719.6;0.396;26.4;2.4
4;1000;2056.2;0.4026;235.2;1.4
4;2000;3386.2;0.4354;427.2;1.2
4;3000;6188.6;0.410667;719.2;1.6
4;5000;14523.2;0.47436;1342.4;2.4
