p;size;hashing time;average search time;processed memory
2;50;19880.2;0.58;783974;
2;100;30876.2;0.85;838042;
2;500;56808.2;0.562;897843;
2;800;45454;0.60775;1.01253e+06;
2;1000;44931.2;0.5862;1.03137e+06;
2;2000;74576.4;0.6273;1.31236e+06;
2;3000;50670.8;0.627933;1.49012e+06;
2;4000;51544.4;0.68755;1.70394e+06;
2;5000;48734;0.73732;1.99475e+06;
3;50;17422.4;0.792;648806;
3;100;15870.8;0.662;838042;
3;500;14762.8;0.5952;927334;
3;800;22763;0.58125;1.00024e+06;
3;1000;17198;0.588;1.0666e+06;
3;2000;25871;0.6087;1.31645e+06;
3;3000;42107.2;0.6978;1.61874e+06;
3;4000;24910.2;0.6529;1.70557e+06;
3;5000;28558.6;0.68012;2.07094e+06;
4;50;17159.8;0.976;650445;
4;100;18342.2;0.608;838042;
4;500;14755.8;0.5736;952730;
4;800;15095.4;0.572;1.05349e+06;
4;1000;20061;0.605;1.08544e+06;
4;2000;17485.6;0.6152;1.33448e+06;
4;3000;23012.6;0.6002;1.63185e+06;
4;4000;35773;0.6072;1.93495e+06;
4;5000;23021.4;0.61724;2.15368e+06;
