p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;17.2;0.02;28;1.4
1;100;60.8;0.024;63.2;1.4
1;500;1398.8;0.0348;1958.4;1.6
1;1000;5543;0.0452;7816;1.8
1;2000;20814.6;0.0563;31256;1.4
1;3000;46180;0.0544;70320;3.2
1;5000;127108;0.068;195320;1.6
2;50;26;0.02;28;1.8
2;100;107.8;0.026;160;1.4
2;500;2554.4;0.0296;3912;1.2
2;1000;10107.6;0.0362;15632;1.2
2;2000;41159.8;0.0477;62504;1.2
2;3000;90199.8;0.0580667;140632;1.6
3;50;44.4;0.028;58.4;2
3;100;161;0.03;234.4;1.2
3;500;4094.8;0.0416;5864;1.6
3;1000;16875.4;0.0588;23440;1.2
3;2000;63713.6;0.0627;93752;1.6
3;3000;137051;0.0676667;210944;1
3;5000;539356;0.1136;585944;1.2
4;50;232.8;0.148;62.4;1.4
4;100;891.2;0.11;320;1
4;500;32748.4;0.0648;7816;1
4;1000;109234;0.0964;31256;1.6
4;5000;2.4157e+06;0.2048;781256;1.4
