p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;22.4;0.136;0;1.8
1;100;78.6;0.13;64.8;2
1;500;1481.8;0.1616;1960;1.4
1;1000;6367.2;0.2268;7836;1.4
1;2000;21497.4;0.1983;31256;2.2
1;3000;26966.6;0.22329;36592;2.2
1;5000;25657.2;0.216081;36592;1.4
2;50;33;0.128;27.2;1.6
2;100;126.6;0.13;152.8;1
2;500;2867.6;0.1892;3912;1.8
2;1000;10983.6;0.2328;15632;1.2
2;2000;42195.8;0.2073;62536;2
2;3000;48280.4;0.196396;73176;1.4
2;5000;48524;0.195933;73176;2.6
3;50;42.6;0.12;58.4;1.2
3;100;171.6;0.13;234.4;1
3;500;3924.6;0.1572;5864;1
3;1000;15472.6;0.1736;23440;1.2
3;2000;63004.6;0.2186;93752;1.2
3;3000;72200.6;0.190758;109760;2
3;5000;72679.8;0.197874;109760;1.2
4;50;54.4;0.12;63.2;1
4;100;225.2;0.132;328;1.2
4;500;5465.4;0.1764;7816;1.4
4;1000;20969.8;0.1862;31256;1
4;2000;82128.4;0.206;125008;1.6
4;3000;96124.4;0.190203;146344;1.8
4;5000;96408.8;0.205638;146344;1.4
