p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;28.2;0.204;27.2;1.4
1;100;76.8;0.198;92;1.2
1;500;1570.6;0.2172;1960;2.8
1;1000;5548;0.2108;7836.8;2
1;2000;21298.2;0.2416;31256;1
1;3000;47314.4;0.2518;70324.8;2.4
1;5000;129387;0.26252;195320;1.8
2;50;27.6;0.18;0;1
2;100;126.2;0.19;132.8;1.8
2;500;2691;0.2008;3912;1.2
2;1000;10280.2;0.2246;15632;1
2;2000;41197;0.2449;62543.2;2
2;3000;91810.6;0.250267;140672;2
2;5000;255910;0.27304;390671;3.2
3;50;35.6;0.18;28.8;1
3;100;171.2;0.19;234.4;1
3;500;3909;0.1948;5864;1.2
3;1000;15418.8;0.2304;23440;1
3;2000;61637;0.2551;93792;1.6
3;3000;137896;0.259533;210944;1.2
3;5000;379413;0.2606;585983;2
4;50;50;0.18;29.6;1
4;100;248.2;0.19;336;1.2
4;500;5118.4;0.214;7816;1
4;1000;20652.4;0.2166;31256;1.4
4;2000;229552;0.3929;125047;1.4
4;3000;819736;0.345067;281256;1.2
4;5000;2.33109e+06;0.72316;781295;2.4
