p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;774.4;0.1;26.4;2
1;100;1551.2;0.106;0;2
1;500;7370.4;0.1068;114.4;2
1;1000;14528;0.1042;169.6;2
1;2000;31825.4;0.1329;292;2
1;3000;55232.2;0.164067;576;2
1;5000;74927.2;0.12704;1104.8;2
2;50;124.2;0.1;0;2
2;100;249.4;0.1;0;2
2;500;1250;0.102;28.8;2
2;1000;2402.6;0.1036;161.6;2
2;2000;5007;0.1068;332;2
2;3000;8025;0.111067;603.2;2
2;5000;12894.8;0.13348;1124.8;2
3;50;118.2;0.1;0;2
3;100;241.8;0.1;0;2
3;500;1124.6;0.1052;0;2
3;1000;2273.2;0.1028;61.6;2
3;2000;4608.6;0.107;348.8;2
3;3000;7220.8;0.114667;603.2;2
3;5000;12087.8;0.12616;1121.6;2
4;50;125.6;0.1;0;2
4;100;232.8;0.1;0;2
4;500;1130;0.1028;0;2
4;1000;2282.4;0.1028;92.8;2
4;2000;4597.8;0.105;328;2
4;3000;7107.6;0.109733;603.2;2
4;5000;12055;0.1196;1118.4;2
