p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;96;0.224;0;1
1;100;195.2;0.23;0;1
1;500;922.2;0.2632;0;1
1;1000;1855.2;0.2814;0;1
1;2000;3697.6;0.2861;0;1
1;3000;4326;0.295194;368.8;1
1;5000;4358.6;0.289464;499.2;1
2;50;153;0.22;0;1
2;100;307.8;0.23;0;1
2;500;1518;0.272;41.6;1
2;1000;3050.6;0.286;322.4;1
2;2000;6415.4;0.3528;580;1
2;3000;7311;0.322366;1040;1
2;5000;7154;0.289094;998.4;1
3;50;218;0.22;0;1
3;100;436.2;0.244;0;1
3;500;2128.8;0.2692;124.8;1
3;1000;4333.6;0.287;499.2;1
3;2000;8734.2;0.3098;1040;1
3;3000;9275;0.29427;998.4;1
3;5000;9228.6;0.296488;915.2;1
4;50;265.4;0.22;0;1
4;100;533.8;0.234;0;1
4;500;2628;0.27;124.8;1
4;1000;5314.4;0.2984;530.4;1
4;2000;10763.4;0.3014;1144.8;1
4;3000;12639.8;0.304898;1996.8;1
4;5000;12631.6;0.298891;1830.4;1
