p;size;hashing time(microseconds/10^-6 sec);average search time(microseconds/10^-6 sec);processed memory(KB);average number attempts
1;50;3835.6;1.108;27.2;2
1;100;7328.8;1.088;28;2
1;500;28143;0.8056;115.2;2
1;1000;62345.2;0.9162;200.8;2
1;2000;117104;0.8763;347.2;2
1;3000;229000;1.10913;592.8;2
1;5000;282260;0.82128;1154.4;2
2;50;179.4;0.62;0;2
2;100;342;0.674;0;2
2;500;1835.4;0.6368;0;2
2;1000;3465.4;0.6736;125.6;2
2;2000;7201.8;0.6982;254.4;2
2;3000;9672;0.735667;584.8;2
2;5000;19478.6;0.78816;1156;2
3;50;159.8;0.62;0;2
3;100;326.4;0.638;0;2
3;500;1522.6;0.698;0;2
3;1000;3079;0.6626;0;2
3;2000;6278;0.7009;321.6;2
3;3000;9687.4;0.7422;572;2
3;5000;16580.6;0.78296;1127.2;2
4;50;162.2;0.656;0;2
4;100;325.2;0.682;0;2
4;500;1578.2;0.7388;0;2
4;1000;3082.8;0.655;0;2
4;2000;6355.4;0.6909;350.4;2
4;3000;9668.8;0.7316;572;2
4;5000;16488;0.77604;1125.6;2
